name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month
Full floor of a city cottage (up to 4 guests),41.97654639,-87.68493431,Private room,56,2,25,07/05/2017,2.57
Guest Room of Two Bedroom Condo,41.97652162,-87.68875499,Private room,36,1,0,,
"Cozy, spacious 2 flat in Lincoln Square!",41.97214502,-87.6991252,Private room,80,1,4,09/05/2017,4.00
Lincoln Square Ravenswood,41.971007,-87.6881295,Private room,80,2,12,07/11/2016,0.87
Cozy Private Room in a Classic Chicago Appartment!,41.9641318,-87.67595081,Private room,20,3,96,16/04/2017,1.96
Master Bedroom of Two Bedroom Condo,41.97645329,-87.68997057,Private room,28,1,1,25/01/2017,0.28
Real Chicago Experience,41.96843551,-87.67751401,Private room,45,1,5,07/05/2017,0.92
Quaint apt in Chicago Brownstone,41.96747877,-87.6918589,Private room,48,1,14,31/07/2016,0.63
Stay ON the square in Lincoln Square!,41.96668629,-87.68841462,Entire home/apt,149,2,0,,
Elegant vintage apartment in Ravenswood,41.96589884,-87.68128372,Entire home/apt,331,1,0,,
Large vintage with free parking,41.97283491,-87.68627174,Entire home/apt,89,2,8,01/01/2017,0.43
Lovely 3BR / 2BA Duplex in Chicago,41.97634446,-87.6870985,Entire home/apt,119,2,27,01/05/2017,3.27
"Cozy, Trains, and Community",41.96920293,-87.69312131,Entire home/apt,52,2,2,14/06/2016,0.14
Bright Ravenswood one-bedroom,41.96469525,-87.67834659,Entire home/apt,69,2,1,01/05/2017,1.00
Lincoln Square Guest Suite 2 Bd 2Ba,41.96315298,-87.68039768,Entire home/apt,150,3,40,23/04/2017,1.94
Clean and charming Lincoln Square gem,41.9717114,-87.69691916,Entire home/apt,150,2,6,02/01/2017,0.58
Spacious 3BD Home in Ravenswood,41.97008926,-87.67423208,Entire home/apt,130,1,9,26/11/2016,0.20
Great Spacious Lincoln Sq Condo!,41.96764579,-87.69037574,Entire home/apt,102,5,15,18/01/2017,0.49
Cute studio all to yourself!!,41.96214954,-87.67932954,Entire home/apt,69,3,8,19/03/2017,0.96
Zen Den Garden Apt - Lincoln Square,41.96889081,-87.68905112,Entire home/apt,89,2,23,26/03/2017,0.62
Beautiful 2bed/2bath unit,41.98214606,-87.69837381,Entire home/apt,139,2,0,,
Eclectic Lincoln Square 2-Bedroom,41.97100922,-87.68877623,Entire home/apt,150,2,16,09/10/2016,0.46
Modern & Cozy Lincoln Square Condo!,41.97483913,-87.69196443,Entire home/apt,139,1,16,02/01/2017,0.29
2 bdrm in Ravenswood neighborhood,41.96285022,-87.67806033,Entire home/apt,100,2,7,07/05/2017,0.74
