name,neighbourhood,latitude,longitude,room_type,minimum_nights,price,price_per_night,number_of_reviews,last_review,reviews_per_month
Full floor of a city cottage (up to 4 guests),Lincoln Square,41.97654639,-87.68493431,Private room,2,$56.00,$28.00,25,07/05/2017,2.57
Guest Room of Two Bedroom Condo,Lincoln Square,41.97652162,-87.68875499,Private room,1,$36.00,$36.00,0,,
"Cozy, spacious 2 flat in Lincoln Square!",Lincoln Square,41.97214502,-87.6991252,Private room,1,$80.00,$80.00,4,09/05/2017,4
Lincoln Square Ravenswood,Lincoln Square,41.971007,-87.6881295,Private room,2,$80.00,$40.00,12,07/11/2016,0.87
Cozy Private Room in a Classic Chicago Appartment!,Lincoln Square,41.9641318,-87.67595081,Private room,3,$20.00,$6.67,96,16/04/2017,1.96
Master Bedroom of Two Bedroom Condo,Lincoln Square,41.97645329,-87.68997057,Private room,1,$28.00,$28.00,1,25/01/2017,0.28
Real Chicago Experience,Lincoln Square,41.96843551,-87.67751401,Private room,1,$45.00,$45.00,5,07/05/2017,0.92
Quaint apt in Chicago Brownstone,Lincoln Square,41.96747877,-87.6918589,Private room,1,$48.00,$48.00,14,31/07/2016,0.63
Stay ON the square in Lincoln Square!,Lincoln Square,41.96668629,-87.68841462,Entire home/apt,2,$149.00,$74.50,0,,
Elegant vintage apartment in Ravenswood,Lincoln Square,41.96589884,-87.68128372,Entire home/apt,1,$331.00,$331.00,0,,
Large vintage with free parking,Lincoln Square,41.97283491,-87.68627174,Entire home/apt,2,$89.00,$44.50,8,01/01/2017,0.43
Lovely 3BR / 2BA Duplex in Chicago,Lincoln Square,41.97634446,-87.6870985,Entire home/apt,2,$119.00,$59.50,27,01/05/2017,3.27
"Cozy, Trains, and Community",Lincoln Square,41.96920293,-87.69312131,Entire home/apt,2,$52.00,$26.00,2,14/06/2016,0.14
Bright Ravenswood one-bedroom,Lincoln Square,41.96469525,-87.67834659,Entire home/apt,2,$69.00,$34.50,1,01/05/2017,1
Lincoln Square Guest Suite 2 Bd 2Ba,Lincoln Square,41.96315298,-87.68039768,Entire home/apt,3,$150.00,$50.00,40,23/04/2017,1.94
Clean and charming Lincoln Square gem,Lincoln Square,41.9717114,-87.69691916,Entire home/apt,2,$150.00,$75.00,6,02/01/2017,0.58
Spacious 3BD Home in Ravenswood,Lincoln Square,41.97008926,-87.67423208,Entire home/apt,1,$130.00,$130.00,9,26/11/2016,0.2
Great Spacious Lincoln Sq Condo!,Lincoln Square,41.96764579,-87.69037574,Entire home/apt,5,$102.00,$20.40,15,18/01/2017,0.49
Cute studio all to yourself!!,Lincoln Square,41.96214954,-87.67932954,Entire home/apt,3,$69.00,$23.00,8,19/03/2017,0.96
Zen Den Garden Apt - Lincoln Square,Lincoln Square,41.96889081,-87.68905112,Entire home/apt,2,$89.00,$44.50,23,26/03/2017,0.62
Beautiful 2bed/2bath unit,Lincoln Square,41.98214606,-87.69837381,Entire home/apt,2,$139.00,$69.50,0,,
Eclectic Lincoln Square 2-Bedroom,Lincoln Square,41.97100922,-87.68877623,Entire home/apt,2,$150.00,$75.00,16,09/10/2016,0.46
Modern & Cozy Lincoln Square Condo!,Lincoln Square,41.97483913,-87.69196443,Entire home/apt,1,$139.00,$139.00,16,02/01/2017,0.29
2 bdrm in Ravenswood neighborhood,Lincoln Square,41.96285022,-87.67806033,Entire home/apt,2,$100.00,$50.00,7,07/05/2017,0.74
"Lovely, Large  Lincoln Square Home",Lincoln Square,41.97050888,-87.68234498,Entire home/apt,3,$310.00,$103.33,19,05/09/2016,0.43
"Clean, safe and family-friendly",Lincoln Square,41.97005179,-87.68436099,Entire home/apt,2,$350.00,$175.00,9,01/01/2017,0.39
Vintage Lincoln Square Sanctuary,Lincoln Square,41.97253752,-87.69630759,Private room,2,$75.00,$37.50,22,19/03/2017,1.1
Quintessential Lincoln Square Room,Lincoln Square,41.96490442,-87.68728204,Private room,2,$49.00,$24.50,0,,
Gorgeous Lincoln Square Two-Level,Lincoln Square,41.96945924,-87.69523157,Entire home/apt,2,$215.00,$107.50,16,08/05/2017,0.46
2BD/2BA Vintage Flat in Lincoln Square,Lincoln Square,41.96629054,-87.68437974,Entire home/apt,2,$180.00,$90.00,19,08/05/2017,2.01
Private Room & Bath,Lincoln Square,41.96684145,-87.69878391,Private room,3,$55.00,$18.33,35,30/10/2016,1.6
Cute Studio with a Cat & Cereal Bar,Lincoln Square,41.96741963,-87.69459659,Entire home/apt,2,$110.00,$55.00,17,02/01/2017,0.78
Beautiful 2-Bedroom Home Near Train,Lincoln Square,41.97280967,-87.69432615,Entire home/apt,2,$115.00,$57.50,38,06/11/2016,1.36
•• cozy 1br in lincoln square ••,Lincoln Square,41.9625248,-87.6814825,Entire home/apt,1,$138.00,$138.00,31,07/05/2017,1.71
